Date,State,Fire Name,Latitude,Longitude,Fire Cause
01/15/13,Georgia,DOG FENNEL RD. FIRE,30.58,-82.27444444,Human/Accidental/Escaped Rx
01/15/13,Utah,Pahcoon Springs,37.2147,-113.8158,Human/Miscellaneous /Other/ unknown 
01/16/13,Arizona,PAPAGO WELL,32.12361111,-113.2980556,Human/Accidental/Recreation
01/16/13,Oklahoma,Deere,35.50619,-96.17767,Human/Fire Use /Trash Burning 
01/16/13,Arizona,ANTELOPE,32.17111111,-113.3205556,Undetermined
01/17/13,New Mexico,RT 10,35.07558,-108.86897,Human/Incendiary /Field Burning 
01/17/13,Oklahoma,Cowboy,36.61252,-97.05802,Human/Miscellaneous /Other/ unknown 
01/17/13,Oregon,Big Creek,43.0953,-123.9072,Human
01/17/13,Arizona,ASH,35.5431,-113.4169,Human/Incendiary /Trash Burning 
01/17/13,Montana,RAIL ROAD TIE,45.6066,-107.4584,Human/Railroads /Other/ unknown 
01/17/13,California,Hayfield,33.66961,-115.6456,Human/Miscellaneous /Other/ unknown 
01/18/13,New Mexico,Trash,36.0142,-105.9344,Human/Incendiary /Trash Burning 
01/18/13,Puerto Rico,JOES FOREST,18.01166667,-67.08777778,Undetermined
01/18/13,California,Bush,35.42891,-118.0292,Human/Incendiary /Blasting 
01/18/13,Arizona,ASH 2,35.5256,-113.4228,Human/Incendiary /Other/ known 
01/18/13,Arizona,Bumble Bee,34.1411,-112.1436,Human/Miscellaneous /Other/ unknown 
01/19/13,Arizona,Big Horn,32.85,-112.3519,Human/Equipment /Vehicle 
01/19/13,Oklahoma,JAMES REED,35.8556,-94.6314,Human/Fire Use /Resource Mgmt 
01/19/13,New York,Great Kills 1,40.550025,-74.130178,Human/Incendiary /Other/ known 
01/20/13,California,North Beach,38.0756,-122.9756,Human/Campfire /Other/ unknown 
01/20/13,Oklahoma,Yellow Dog,35.493,-97.0675,Human/Miscellaneous /Other/ known 
01/21/13,Nevada,Boulder,37.345,-114.7583,Human
01/21/13,Tennessee,Car Inferno,35.3214,-87.5806,Human/Equipment /Vehicle 
01/21/13,Arizona,GOPHER,33.307097,-110.440103,Human/Miscellaneous /Other/ unknown 
01/21/13,Indiana,Marquette Trail 2,41.60739,-87.23711,Human/Juveniles /Other/ unknown 
01/21/13,Oklahoma,David,34.975,-96.5994,Human/Incendiary /Other/ known 
01/21/13,Arizona,Gu Vo Fire,32.0042,-112.6217,Human/Fire Use /Other/ known 
01/22/13,Arizona,Artesia,32.6547,-109.5547,Human/Miscellaneous /Other/ unknown 
01/22/13,Oklahoma,EDDIE SLOPE,35.7436,-94.5842,Human/Incendiary /Other/ unknown 
01/22/13,Utah,Flats Vehicle,38.1464,-109.3717,Human/Equipment /Vehicle 
01/23/13,Arizona,DOBSON,33.2032,-111.8755,Human/Juveniles /Other/ known 
01/23/13,Oklahoma,PINE 17,35.7006,-94.6978,Human/Incendiary /Other/ unknown 
01/23/13,Arizona,Shiprock,34.34042,-113.15347,Human/Equipment /Vehicle 
01/24/13,Oklahoma,BUCK TROT,35.735153,-94.52567,Human/Accidental/Recreation
01/24/13,Utah,Bug Point,37.54739,-109.11964,Human/Incendiary /Other/ unknown 
01/24/13,New Mexico,SUBSTATION,34.82694444,-104.8552778,Human/Other
01/24/13,South Carolina,BURRITO FIRE,34.61027778,-80.20388889,Human/Accidental/Recreation
01/24/13,South Dakota,Field,43.246361,-100.839275,Human/Juveniles /Other/ unknown 
01/25/13,Colorado,HWY 141,38.7719,-108.883,Human/Equipment /Vehicle 
01/25/13,Montana,CRAZY HEADS,45.6114,-106.5164,Human/Miscellaneous /Other/ unknown 
01/26/13,South Dakota,Club,44.07936,-99.5875,Human/Incendiary /Other/ unknown 
01/26/13,California,ARENA PLAINS,37.28944444,-120.7263889,Human/Arson/Adult
01/26/13,Oklahoma,NE30020A,35.6931,-94.6892,Human/Incendiary /Other/ unknown 
01/26/13,Oklahoma,NE30022A,35.6908,-94.6903,Human/Incendiary /Other/ unknown 
01/26/13,Oklahoma,Wrecker,36.9092,-94.7892,Human/Equipment /Vehicle 
01/26/13,Montana,Brass,46.019,-108.479897,Human/Incendiary /Other/ known 
01/27/13,South Dakota,Cottonwood,45.6611,-100.535,Human/Miscellaneous /Burning Building 
01/27/13,Florida,Road Side 2,26.0156,-81.3456,Human/Miscellaneous /Other/ unknown 
01/27/13,Florida,Road Side 1,26.0181,-81.3456,Human/Miscellaneous /Other/ unknown 
01/27/13,Mississippi,Cathead,32.5403,-89.9539,Human/Juveniles /Other/ unknown 
01/27/13,South Dakota,Walker,43.2383,-100.8736,Human/Incendiary /Other/ unknown 
01/28/13,Mississippi,Dupree,32.2608,-90.5019,Human/Fire Use /Slash Burning 
01/28/13,Mississippi,MM62 FRONTAGE,30.43638889,-88.64583333,Undetermined
01/28/13,Arizona,ADOBE WINDMILL,32.22611111,-112.9841667,Human/Accidental/Recreation
01/28/13,Louisiana,CARFIRE28JAN13,30.07944444,-89.86194444,Human/Arson/Adult
01/28/13,Louisiana,CARFIRE25JAN13,30.11166667,-89.865,Human/Arson/Adult
01/28/13,Texas,Hacksaw,35.73741,-101.55916,Human/Miscellaneous /Other/ unknown 
01/28/13,South Dakota,Eleven Bales,45.77222,-101.07889,Human/Incendiary /Other/ unknown 
01/29/13,Georgia,ACCESS ROAD,33.11305556,-83.68166667,Human/Other
01/29/13,Mississippi,Hula Hoop,32.4042,-90.2317,Human/Equipment /Vehicle 
01/30/13,Arizona,COTTONWOOD,33.307097,-110.452003,Human/Miscellaneous /Other/ unknown 
01/30/13,South Carolina,BOY SCOUT FIRE,34.58277778,-80.23638889,Undetermined
01/31/13,Arizona,RIM,33.27497,-110.32706,Natural /Lightning 
01/31/13,South Dakota,Osni,43.117017,-101.036547,Human/Equipment /Other/ known 
01/31/13,Texas,GATE ,30.49855,-97.96708,Human/Accidental/Industrial
01/31/13,Mississippi,HWY 16 West,32.7808,-89.2475,Human/Fire Use /Trash Burning 
02/01/13,Mississippi,FB OVERPASS #2,30.44638889,-88.74416667,Undetermined
02/01/13,Mississippi,FB OVERPASS #1,30.45527778,-88.76888889,Undetermined
02/01/13,Mississippi,FishGuts,32.4489,-90.0714,Human/Campfire /Cooking/warming 
02/01/13,Oklahoma,Herman,36.42169,-96.40763,Human/Equipment /Other/ unknown 
02/02/13,South Dakota,Semi,43.3026,-100.711122,Human/Equipment /Vehicle 
02/02/13,Oklahoma,Honobia Creek,34.5394,-94.9319,Human/Incendiary /Trash Burning 
02/02/13,Oklahoma,ALREADY GOT,35.7,-94.6886,Human/Incendiary /Other/ unknown 
02/02/13,Puerto Rico,E.M.C.SOUTH ROAD,18.13444444,-65.35444444,Undetermined
02/02/13,Oregon,6600 E-140 Rd,44.8083,-121.2008,Human/Fire Use /Trash Burning 
02/02/13,Oklahoma,BROWN PIT,35.7369,-94.6733,Human/Incendiary /Other/ unknown 
02/02/13,New York,Frank Charles 1,40.648289,-73.834219,Human/Miscellaneous /Other/ unknown 
02/03/13,California,FISHERMAN,37.62416667,-121.1875,Human/Accidental/Recreation
02/03/13,Florida,BR MC,27.0678,-81.0506,Human/Equipment /Other/ known 
02/03/13,Montana,Loon,47.7681,-114.2958,Human/Campfire /Cooking/warming 
02/03/13,Montana,Acton 1,46.034697,-108.6455,Human/Campfire /Cooking/warming 
02/03/13,Puerto Rico,LA SIEMBRA,18.13555556,-65.36083333,Undetermined
02/03/13,Mississippi,146 Jefferson Rd.,32.7914,-89.2719,Human/Fire Use /Trash Burning 
02/04/13,South Dakota,Roadside,45.7128,-100.8133,Human
02/04/13,Arizona,South Boundary,35.5,-110.8439,Human/Incendiary /Field Burning 
02/04/13,Oklahoma,Wright,36.31831,-95.97164,Human/Incendiary /Other/ unknown 
02/04/13,Oklahoma,West,36.63613,-96.26427,Human/Equipment /Other/ unknown 
02/04/13,Florida,LCEC FIRE,26.46549,-82.14882,Human/Accidental/Industrial
02/04/13,Oklahoma,Bamboo,34.9792,-97.0189,Human/Miscellaneous /Other/ unknown 
02/04/13,Alabama,Kameron,34.84,-87.9247,Human/Campfire /Cooking/warming 
02/04/13,Alabama,Kameron 2,34.84,-87.9247,Human/Campfire /Cooking/warming 
02/05/13,South Dakota,Shelter,43.185,-102.7375,Human/Fire Use /Trash Burning 
02/05/13,Puerto Rico,FIRE ROAD,17.96083333,-67.20027778,Undetermined
02/05/13,Oklahoma,SOLDIER VANN,35.7,-94.6914,Human/Incendiary /Other/ unknown 
02/06/13,Arizona,Route 2 MP 25,35.6147,-110.7739,Human/Smoking /Smoking 
02/06/13,California,GIANT,32.73138889,-116.9416667,Human/Accidental/Recreation
02/06/13,Montana,FLASH,48.54392,-113.01133,Human/Incendiary /Other/ unknown 
02/07/13,Arizona,Rubbish Fire,32.7614,-111.7403,Human/Miscellaneous /Other/ unknown 
02/07/13,North Carolina,HARRY_ PIT,35.915,-75.78416667,Undetermined
02/08/13,Arizona,Babo Park Fire,31.6806,-111.6397,Human/Miscellaneous /Other/ unknown 
02/09/13,Montana,MILL,48.97714,-113.50414,Human/Incendiary /Other/ unknown 
02/09/13,New Mexico,Transfer,35.344694,-106.536587,Human/Fire Use /Other/ unknown 
02/09/13,Puerto Rico,C.P.C. DIESEL TANK,18.13916667,-65.30583333,Undetermined
02/09/13,Arizona,PALM CAYON RD.,33.35972222,-114.1163889,Human/Accidental/Recreation
02/09/13,Colorado,ROCKY FLATS LAKE,39.875,-105.2316667,Human/Accidental/Agricultural
02/09/13,Arizona,LBUTTE,33.224,-111.9225,Human/Incendiary /Other/ unknown 
02/10/13,Oklahoma,CR-2485,35.0669,-98.5592,Human/Miscellaneous /Other/ unknown 
02/10/13,California,Jones Point #1,41.0336,-123.64,Human/Incendiary /Recurrent 
02/11/13,New Mexico,Standing,35.258894,-106.568693,Human/Fire Use /Field Burning 
02/11/13,Florida,CLEAR-CUT,26.229561,-81.357566,Human/Accidental/Escaped Rx
02/11/13,California,Cappell Yurok,41.2706,-123.7783,Natural /Other/ unknown 
02/11/13,South Dakota,Hot Water,43.32153,-101.03186,Human/Incendiary /Other/ known 
02/12/13,California,Hughes,34.451211,-118.255644,Human/Miscellaneous /Other/ unknown 
02/12/13,Maryland,UNIT 7,38.39944444,-76.08361111,Human/Other
02/12/13,California,Aggregate #1,41.0347,-123.6581,Human/Incendiary /Recurrent 
02/12/13,Maryland,UNIT 3,38.39138889,-76.075,Human/Other
02/12/13,Arizona,SNAKEHILL,33.10836,-111.85761,Human/Campfire /Cooking/warming 
02/13/13,California,Carrizo,33.608488,-116.419362,Human/Equipment /Vehicle 
02/13/13,South Dakota,First Street,45.765,-101.0792,Human/Miscellaneous /Burning Building 
02/13/13,New Mexico,Trujillo,34.89699,-106.68479,Human/Fire Use /Field Burning 
02/13/13,Montana,FEMA,48.52858,-113.0165,Human/Incendiary /Trash Burning 
02/13/13,South Dakota,Walk About,43.21406,-100.90775,Human/Fire Use /Trash Burning 
02/14/13,California,GARDNERS,37.63416667,-121.2069444,Human/Accidental/Recreation
02/14/13,North Carolina,HWY 94 FIRE,35.68666667,-76.20111111,Human/Accidental/Industrial
02/14/13,California,Beaver # 1,41.1,-123.7153,Human/Incendiary /Trash Burning 
02/14/13,North Dakota,Cameron's Point,46.082706,-100.626967,Human/Incendiary /Trash Burning 
02/15/13,California,WILSON,32.6675,-116.9283333,Human/Accidental/Recreation
02/15/13,Oklahoma,WICHITA-586,35.12702,-98.17202,Human/Equipment /Exhaust 
02/15/13,Arizona,Bolton,35.8394,-110.2372,Human/Fire Use /Trash Burning 
02/15/13,Mississippi,Lagoon,32.7892,-89.2228,Human/Fire Use /Trash Burning 
02/15/13,Montana,LOOP,48.56406,-113.02847,Human/Incendiary /Other/ unknown 
02/15/13,Texas,2013 SARGENT RANCH,29.84194444,-95.73083333,Human/Accidental/Agricultural
02/16/13,Oklahoma,DORIS 2/16/13,34.715,-98.64361111,Human/Accidental/Recreation
02/16/13,Puerto Rico,WILD HORSE,18.01166667,-67.08861111,Human/Other
02/16/13,Montana,17 Mile,46.0175,-108.4794,Human/Miscellaneous /Other/ known 
02/16/13,California,Sandrail,32.9683,-115.1696,Human/Equipment /Vehicle 
02/16/13,Oklahoma,Harjo9,35.3608,-96.5667,Human/Fire Use /Trash Burning 
02/16/13,Montana,Oliver,47.6081,-114.3847,Human/Incendiary /Slash Burning 
02/16/13,Mississippi,Ratliff Ferry,32.5928,-89.8403,Human/Campfire /Cooking/warming 
02/17/13,Oklahoma,KIOWA-260,35.058,-98.5375,Human/Incendiary /Other/ unknown 
02/17/13,New York,Runway 1-2,40.594333,-73.898611,Human/Fire Use /Other/ known 
02/17/13,New Mexico,Gallarito Flatts,33.1539,-105.7917,Human/Incendiary /Slash Burning 
02/17/13,New Mexico,126,34.864194,-106.677893,Human/Fire Use /Field Burning 
02/17/13,Oklahoma,NE30032A,35.655,-94.6308,Human/Incendiary /Other/ unknown 
02/17/13,New Mexico,BINDELS,32.4008,-104.1681,Human/Miscellaneous /Other/ known 
02/17/13,Oklahoma,KIOWA-690,35.0728,-98.5653,Human/Incendiary /Other/ unknown 
02/17/13,California,I 10 west / Morongo Trail,33.931683,-116.828067,Human/Miscellaneous /Other/ unknown 
02/17/13,South Dakota,Bettelyoun,43.56761,-101.66281,Human/Miscellaneous /Other/ known 
02/17/13,California,Pine Creek # 1,41.1033,-123.7067,Human/Incendiary /Recurrent 
02/17/13,California,Marshall # 1,41.0867,-123.6942,Human/Incendiary /Slash Burning 
02/17/13,South Dakota,Lagoons,43.24728,-100.85508,Natural /Other/ unknown 
02/17/13,Nevada,East Charleston,36.1581,-115.0189,Human/Campfire /Other/ unknown 
02/18/13,South Dakota,Pan,43.320656,-101.027656,Human/Miscellaneous /Other/ unknown 
02/18/13,Oklahoma,Old Dump,35.7067,-94.515,Human/Incendiary /Other/ unknown 
02/18/13,Oklahoma,Soggy Bottom,35.7058,-94.5256,Human/Incendiary /Other/ unknown 
02/18/13,Kansas,2013 WEST EUREKA,38.2045,-94.6498,Undetermined
02/18/13,California,School Bus,32.9718,-115.1606,Human/Fire Use /Trash Burning 
02/18/13,Oklahoma,DORIS 2/18/13,34.71527778,-98.64277778,Human/Accidental/Recreation
02/18/13,Oklahoma,NELSON SOAP,35.7222,-94.5686,Human/Fire Use /Land Clearing 
02/18/13,Arizona,CHICO SHUNIE,32.32722222,-112.9452778,Human/Accidental/Recreation
02/18/13,Mississippi,Old Hickory,32.5219,-89.9769,Human/Equipment /Power Line 
02/18/13,Maryland,Key West Fire,39.5431,-78.6186,Human/Miscellaneous /Other/ unknown 
02/18/13,Idaho,ROCKY TOP,43.3214,-116.64928,Human/Miscellaneous /Other/ unknown 
02/18/13,Oklahoma,Golden Pony,35.42764,-96.19469,Human/Fire Use /Slash Burning 
02/19/13,Alabama,HGH ROAD 2013,34.567984,-86.799371,Undetermined
02/19/13,South Dakota,LaCreek,43.46175,-101.28328,Human/Equipment /Power Line 
02/19/13,Utah,Seaman,37.0419,-112.2164,Human/Incendiary /Trash Burning 
02/19/13,South Dakota,LACREEK,43.46175,-101.28328,Human/Equipment /Power Line 
02/19/13,Oklahoma,PINE,35.59833333,-95.9925,Human/Accidental/Agricultural
02/19/13,Arizona,SQUATTER,33.43819,-111.88189,Human/Incendiary /Other/ known 
02/19/13,Oregon,0019 FEBRUARY,44.349694,-121.216783,Human/Miscellaneous /Other/ unknown 
02/20/13,California,Mile Post 21.76,41.1692,-123.6978,Human/Incendiary /Recurrent 
02/21/13,Texas,CHIHUAHUA WOODS N/O,26.21305556,-98.42055556,Undetermined
02/21/13,California,Jackson,33.5917,-116.2228,Human/Incendiary /Recurrent 
02/21/13,California,Bald Hill # 1,41.1033,-123.7056,Human/Incendiary /Recurrent 
02/22/13,Idaho,TRIPLE DEUCE,43.4487,-116.14781,Human/Miscellaneous /Other/ unknown 
02/22/13,California,Bald Hill # 2,41.1036,-123.7042,Human/Incendiary /Recurrent 
02/23/13,Arizona,WARMING,33.157,-111.77861,Human/Incendiary /Other/ known 
02/23/13,Arizona,SR 87 & MM 150,33.11311,-111.71908,Human/Miscellaneous /Other/ unknown 
02/24/13,South Dakota,DOUVILLE,43.142214,-100.91533,Human/Incendiary /Other/ unknown 
02/24/13,Georgia,Bridge 4,30.9058,-81.4456,Natural /Lightning 
02/24/13,Nevada,WEISHAUPT,39.49388889,-118.5902778,Human/Accidental/Agricultural
02/24/13,Georgia,Download,30.8906,-81.4167,Natural /Lightning 
02/24/13,New Mexico,FISHER MEN,33.5319,-104.0614,Human/Equipment /Vehicle 
02/24/13,California,Bald Hill # 3,41.1019,-123.7028,Human/Incendiary /Recurrent 
02/24/13,Oklahoma,LOST LAKE FIRE,34.71,-98.675,Human/Accidental/Recreation
02/25/13,Arizona,EAGLE,33.39,-110.4189,Human/Campfire /Cooking/warming 
02/25/13,Arizona,Range Unit 555,35.5,-110.8353,Human/Incendiary /Field Burning 
02/25/13,New Mexico,TR22,34.867694,-106.673687,Human/Fire Use /Field Burning 
02/25/13,Texas,LA SELVA VERDE PUMP,26.15777778,-97.44833333,Human/Accidental/Industrial
02/26/13,New Mexico,379,34.894594,-106.672987,Human/Fire Use /Field Burning 
02/26/13,California,Bald Hill # 4,41.1033,-123.7083,Human/Incendiary /Recurrent 
02/26/13,Arizona,Tovar,35.5,-110.8528,Human/Campfire /Cooking/warming 
02/26/13,Texas,LA SELVA VERDE PUMP 2,26.13333333,-97.45,Human/Other
02/26/13,Oklahoma,OSAGE LAKE,34.71666667,-98.65416667,Human/Arson/Adult
02/26/13,Arizona,HOLY,33.3589,-110.4481,Human/Incendiary /Other/ unknown 
02/26/13,New Mexico,ROCK DAISY,32.6242,-104.4106,Human/Miscellaneous /Other/ known 
02/27/13,Oregon,28,44.3564,-121.2178,Human/Incendiary /Recurrent 
02/27/13,New Mexico,TOWER HILL,32.5222,-103.9753,Human/Equipment /Vehicle 
02/27/13,Oklahoma,KIOWA-324,35.00049,-98.33883,Human/Incendiary /Other/ unknown 
02/28/13,Georgia,Snodgrass Hill,34.9292,-85.268589,Human
02/28/13,Texas,MILAGRO PILES,26.08694444,-98.16138889,Human/Accidental/Agricultural
02/28/13,Arizona,PAYMASTER,33.16286,-109.86386,Human/Miscellaneous /Other/ unknown 
02/28/13,New Mexico,Central Park,35.04292,-107.42331,Human/Fire Use /Land Clearing 
02/28/13,South Dakota,Snow flake,43.150142,-102.361939,Human/Juveniles /Ignition Devices 
03/01/13,Nevada,COPPER,39.13133,-119.68717,Human/Incendiary /Other/ known 
03/01/13,New Mexico,Anzac 2,35.06397,-107.73713,Human/Fire Use /Field Burning 
03/01/13,Texas,HWY 48 N/O,26.06611111,-97.23527778,Undetermined
03/02/13,New Mexico,Flatbed,34.880194,-106.699293,Human/Fire Use /Field Burning 
03/02/13,Montana,TIRE SHOP,48.55306,-113.01153,Human/Incendiary /Other/ unknown 
03/02/13,Montana,NINEPIPE ,47.459583,-114.09125,Human/Accidental/Agricultural
03/02/13,New Mexico,Deere,35.53807,-106.3645,Human/Fire Use /Field Burning 
03/02/13,New Mexico,Leno's,34.905597,-106.681187,Human/Fire Use /Trash Burning 
03/02/13,New Mexico,Angostura,35.36099,-106.45039,Human/Fire Use /Field Burning 
03/02/13,South Dakota,Eagle Bear,43.324589,-101.026914,Natural /Other/ known 
03/02/13,California,Altima,33.670211,-115.623811,Human/Equipment /Vehicle 
03/03/13,Mississippi,Sellars,34.4561,-88.4936,Human/Equipment /Vehicle 
03/03/13,Oregon,32,44.2164,-121.3386,Human/Fire Use /Field Burning 
03/03/13,Texas,CHICHARRA BANCO,26.25611111,-98.61944444,Human/Accidental/Agricultural
03/03/13,North Carolina,CACHE FIRE,36.51416667,-75.92833333,Undetermined
03/03/13,New Mexico,Route 84,35.4881,-106.3871,Human/Fire Use /Field Burning 
03/03/13,Oklahoma,Wetland,35.3911,-96.5139,Human/Incendiary /Other/ unknown 
03/03/13,California,Deerhorn # 1,41.1692,-123.6944,Human/Incendiary /Recurrent 
03/03/13,South Dakota,COACH II,43.25814,-100.83656,Natural /Other/ unknown 
03/03/13,South Dakota,Grease,43.139344,-100.905964,Human/Miscellaneous /Other/ known 
03/04/13,Florida,BillieSwamp Dumpster,26.3286,-81.0531,Natural /Other/ unknown 
03/04/13,Florida,OLD TOWN,28.733245,-80.758492,Human/Accidental/Recreation
03/04/13,Arkansas,Highbanks Cowpie,35.97503,-92.87603,Human/Campfire /Cooking/warming 
03/04/13,New Mexico,Rope,34.8756,-106.6926,Human/Fire Use /Land Clearing 
03/04/13,New Mexico,313,35.3599,-106.5062,Human/Fire Use /Land Clearing 
03/04/13,Arizona,RT.87 MP 392.9,35.5194,-110.6986,Human/Equipment /Exhaust 
03/04/13,California,HWY  94  8,32.646667,-116.360017,Human/Miscellaneous /Other/ unknown 
03/04/13,Oklahoma,Sampson,36.43727,-96.39458,Human/Fire Use /Field Burning 
03/05/13,Nevada,Kodachrome,36.1286,-114.9858,Human/Campfire /Other/ unknown 
03/05/13,Nevada,Lighthouse,35.4925,-115.1228,Human/Campfire /Other/ unknown 
03/05/13,Arizona,Cottonwood,34.42611,-113.243,Human/Equipment /Vehicle 
03/05/13,Nevada,COURTLAND,38.8628,-119.6578,Human/Fire Use /Field Burning 
03/05/13,Arkansas,Goggins Cattle Guard,35.9686,-92.8283,Human/Incendiary /Other/ unknown 
03/05/13,Virginia,Borrow Ditch Fire,38.8286,-77.525,Human/Miscellaneous /Other/ unknown 
03/05/13,New Mexico,TR10,34.8884,-106.666603,Human/Fire Use /Field Burning 
03/05/13,New Mexico,TR1,34.8761,-106.694703,Human/Fire Use /Field Burning 
03/05/13,New Mexico,Juancho,34.896197,-106.6782,Human/Fire Use /Field Burning 
03/05/13,Colorado,Blue Sky,37.8488,-106.2888,
03/05/13,New Mexico,Waseta,34.9276,-106.704103,Human/Fire Use /Field Burning 
03/05/13,Texas,SAN FRANCISCO N/O,26.31666667,-98.68972222,Undetermined
03/05/13,Arizona,OLBERG,33.084,-111.68719,Human/Incendiary /Other/ unknown 
03/05/13,New Mexico,TR14,34.9032,-106.6747,Human/Incendiary /Field Burning 
03/06/13,New York,Spring Creek 2,40.656464,-73.854206,Human/Incendiary /Other/ known 
03/06/13,California,Bard,32.7761,-114.5594,Human/Incendiary /Other/ unknown 
03/06/13,New Mexico,134 WEST,35.0033,-107.0603,Human/Equipment /Vehicle 
03/06/13,Oklahoma,SAWNEY DUMP,35.7347,-94.5406,Human/Fire Use /Trash Burning 
03/06/13,Oklahoma,S. Harjo,35.0578,-96.5475,Human/Incendiary /Other/ known 
03/06/13,Arizona,PEDRO,33.1205,-111.94508,Human/Miscellaneous /Other/ unknown 
03/06/13,Oklahoma,SAWNEY ROCK,35.7344,-94.5403,Human/Fire Use /Resource Mgmt 
03/06/13,Oklahoma,Dump Fire,34.6353,-95.2753,Human/Incendiary /Other/ known 
03/06/13,Wyoming,#9 Trout Creek,42.9903,-108.875,Human/Fire Use /Trash Burning 
03/06/13,South Dakota,Signal 1 II,43.231281,-100.856433,Human/Equipment /Power Line 
03/06/13,South Dakota,Burned Trailer,43.321372,-100.89305,Human/Incendiary /Field Burning 
03/06/13,Arizona,TOWER,33.0801,-111.7404,Human/Incendiary /Other/ unknown 
03/06/13,South Dakota,First,43.56783,-101.65664,Human/Miscellaneous /Other/ unknown 
03/06/13,Mississippi,172 Willis Rd.,32.7664,-89.2228,Human/Fire Use /Trash Burning 
03/07/13,Oklahoma,259,34.5319,-94.6864,Human/Incendiary /Other/ unknown 
03/07/13,Arizona,SR 587,33.1583,-111.8422,Human/Incendiary /Other/ unknown 
03/07/13,Arkansas,LEVEE,34.213833,-91.06029,Human/Accidental/Recreation
03/07/13,Oklahoma,STEP WEST,35.7178,-94.5647,Human/Fire Use /Resource Mgmt 
03/07/13,Arizona,HOOK,33.30933,-110.45317,Human/Juveniles /Other/ unknown 
03/07/13,Tennessee,ML CG #7,35.5131,-87.4558,Human/Campfire /Cooking/warming 
03/07/13,Arizona,Whitecone,35.46777,-110.07791,Human/Incendiary /Other/ unknown 
03/07/13,New Mexico,Roadrunner,34.8988,-106.668197,Human/Incendiary /Field Burning 
03/07/13,Georgia,CRANE SLOP,33.06305556,-83.71472222,Human/Accidental/Agricultural
03/07/13,South Dakota,Holy Innocents,43.324783,-101.0433,Natural /Other/ unknown 
03/07/13,South Dakota,Loud,44.0614,-99.4275,Natural /Other/ known 
03/07/13,New Mexico,SHUGART,32.7764,-103.8836,Human/Equipment /Power Line 
03/07/13,Mississippi,152 Goat Ranch,32.7975,-89.2569,Human/Fire Use /Trash Burning 
03/07/13,South Dakota,Same Old House,43.143128,-100.907119,Human/Miscellaneous /Other/ unknown 
